Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
17,0.7004048582995951,247,4.676113360323886,0.12955465587044535,0.10121457489878542,0.08097165991902834,0.048582995951417005,0.0728744939271255,0.2550607287449393,0.012145748987854251,0.032388663967611336,0.08097165991902834,0.1862348178137652,
17,0.5536193029490617,746,4.509383378016086,0.08445040214477212,0.10455764075067024,0.036193029490616625,0.020107238605898123,0.15281501340482573,0.339142091152815,0.002680965147453083,0.00938337801608579,0.057640750670241284,0.19302949061662197,
17,0.6554307116104869,267,4.835205992509363,0.14606741573033707,0.10112359550561797,0.06741573033707865,0.026217228464419477,0.1198501872659176,0.3258426966292135,0.00749063670411985,0.0,0.07865168539325842,0.12734082397003746,
17,0.6555555555555556,540,4.642592592592592,0.12222222222222222,0.1111111111111111,0.04259259259259259,0.04259259259259259,0.12222222222222222,0.3574074074074074,0.0,0.011111111111111112,0.04259259259259259,0.14814814814814814,
17,0.6607929515418502,227,4.383259911894273,0.07929515418502203,0.10572687224669604,0.030837004405286344,0.013215859030837005,0.1277533039647577,0.3039647577092511,0.0,0.01762114537444934,0.1013215859030837,0.22026431718061673,
17,0.642512077294686,207,3.9903381642512077,0.12077294685990338,0.10144927536231885,0.057971014492753624,0.07246376811594203,0.06763285024154589,0.23671497584541062,0.0,0.028985507246376812,0.1111111111111111,0.2028985507246377,
17,0.56951871657754,748,4.485294117647059,0.07887700534759358,0.09224598930481283,0.040106951871657755,0.0481283422459893,0.14171122994652408,0.3582887700534759,0.0,0.0106951871657754,0.06283422459893048,0.16711229946524064,
17,0.49731471535982813,931,4.4167561761546725,0.08915145005370569,0.1385606874328679,0.03866809881847476,0.03544575725026853,0.1364124597207304,0.30934479054779807,0.0,0.024704618689581095,0.06766917293233082,0.16004296455424274,
17,0.66875,160,4.64375,0.0875,0.10625,0.0375,0.06875,0.0875,0.3375,0.0,0.0125,0.075,0.18125,
17,0.6448598130841121,214,4.364485981308412,0.06542056074766354,0.09813084112149532,0.02336448598130841,0.056074766355140186,0.08411214953271028,0.35514018691588783,0.0,0.02336448598130841,0.11682242990654206,0.17757009345794392,
17,0.7319587628865979,97,4.329896907216495,0.10309278350515463,0.05154639175257732,0.05154639175257732,0.041237113402061855,0.14432989690721648,0.3402061855670103,0.0,0.041237113402061855,0.030927835051546393,0.1958762886597938,
17,0.6554054054054054,148,4.02027027027027,0.0945945945945946,0.14864864864864866,0.05405405405405406,0.05405405405405406,0.07432432432432433,0.25675675675675674,0.0,0.006756756756756757,0.13513513513513514,0.17567567567567569,
17,0.7073170731707317,123,4.130081300813008,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.0975609756097561,0.17073170731707318,0.35772357723577236,0.0,0.016260162601626018,0.04065040650406504,0.17073170731707318,
17,0.7065217391304348,92,4.239130434782608,0.11956521739130435,0.10869565217391304,0.03260869565217391,0.10869565217391304,0.08695652173913043,0.2717391304347826,0.0,0.010869565217391304,0.09782608695652174,0.16304347826086957,
17,0.6904761904761905,168,4.196428571428571,0.06547619047619048,0.1130952380952381,0.017857142857142856,0.07142857142857142,0.09523809523809523,0.32142857142857145,0.011904761904761904,0.011904761904761904,0.07738095238095238,0.21428571428571427,
17,0.7837837837837838,74,3.8783783783783785,0.08108108108108109,0.10810810810810811,0.013513513513513514,0.05405405405405406,0.06756756756756757,0.13513513513513514,0.0,0.04054054054054054,0.16216216216216217,0.33783783783783783,
17,0.6302521008403361,119,3.7142857142857144,0.06722689075630252,0.09243697478991597,0.025210084033613446,0.058823529411764705,0.08403361344537816,0.3025210084033613,0.0,0.01680672268907563,0.13445378151260504,0.2184873949579832,
17,0.7611940298507462,67,4.1940298507462686,0.1044776119402985,0.11940298507462686,0.07462686567164178,0.05970149253731343,0.04477611940298507,0.208955223880597,0.0,0.029850746268656716,0.16417910447761194,0.19402985074626866,
17,0.7398373983739838,123,3.926829268292683,0.0975609756097561,0.13008130081300814,0.04878048780487805,0.06504065040650407,0.06504065040650407,0.2926829268292683,0.0,0.016260162601626018,0.0975609756097561,0.18699186991869918,
17,0.6820809248554913,173,4.254335260115607,0.06358381502890173,0.08670520231213873,0.04046242774566474,0.10982658959537572,0.10404624277456648,0.3179190751445087,0.0,0.005780346820809248,0.08092485549132948,0.1907514450867052,
17,0.8028169014084507,71,4.591549295774648,0.11267605633802817,0.07042253521126761,0.028169014084507043,0.07042253521126761,0.08450704225352113,0.30985915492957744,0.0,0.0,0.11267605633802817,0.2112676056338028,
17,0.6959459459459459,148,4.391891891891892,0.13513513513513514,0.10135135135135136,0.0472972972972973,0.08783783783783784,0.06756756756756757,0.3716216216216216,0.006756756756756757,0.013513513513513514,0.02027027027027027,0.14864864864864866,
17,0.7168141592920354,113,4.398230088495575,0.13274336283185842,0.10619469026548672,0.04424778761061947,0.035398230088495575,0.10619469026548672,0.2920353982300885,0.0,0.02654867256637168,0.061946902654867256,0.19469026548672566,
17,0.6385542168674698,166,4.048192771084337,0.1144578313253012,0.08433734939759036,0.04819277108433735,0.06626506024096386,0.04819277108433735,0.26506024096385544,0.0,0.03614457831325301,0.13855421686746988,0.19879518072289157,
17,0.7142857142857143,133,4.2781954887218046,0.05263157894736842,0.09774436090225563,0.05263157894736842,0.07518796992481203,0.06766917293233082,0.3308270676691729,0.007518796992481203,0.03759398496240601,0.08270676691729323,0.19548872180451127,
17,0.7766990291262136,103,4.242718446601942,0.13592233009708737,0.10679611650485436,0.06796116504854369,0.038834951456310676,0.04854368932038835,0.3106796116504854,0.0,0.009708737864077669,0.07766990291262135,0.20388349514563106,
17,0.7383177570093458,107,4.364485981308412,0.056074766355140186,0.12149532710280374,0.07476635514018691,0.07476635514018691,0.06542056074766354,0.2897196261682243,0.0,0.018691588785046728,0.056074766355140186,0.24299065420560748,
17,0.7083333333333334,120,4.216666666666667,0.125,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.008333333333333333,0.2916666666666667,0.0,0.05,0.1,0.2916666666666667,
17,0.6598639455782312,147,4.020408163265306,0.10204081632653061,0.14965986394557823,0.013605442176870748,0.061224489795918366,0.07482993197278912,0.35374149659863946,0.006802721088435374,0.013605442176870748,0.08163265306122448,0.14285714285714285,
17,0.6307692307692307,195,4.184615384615385,0.12307692307692308,0.11282051282051282,0.035897435897435895,0.046153846153846156,0.08205128205128205,0.27692307692307694,0.0,0.03076923076923077,0.09743589743589744,0.19487179487179487,
17,0.7176470588235294,85,4.482352941176471,0.058823529411764705,0.058823529411764705,0.023529411764705882,0.047058823529411764,0.08235294117647059,0.36470588235294116,0.0,0.011764705882352941,0.1411764705882353,0.21176470588235294,
17,0.7536231884057971,69,4.594202898550725,0.043478260869565216,0.07246376811594203,0.028985507246376812,0.057971014492753624,0.11594202898550725,0.34782608695652173,0.0,0.028985507246376812,0.14492753623188406,0.15942028985507245,
17,0.6263736263736264,91,4.142857142857143,0.03296703296703297,0.054945054945054944,0.07692307692307693,0.054945054945054944,0.06593406593406594,0.3076923076923077,0.0,0.0,0.1978021978021978,0.2087912087912088,
17,0.7244094488188977,127,4.354330708661418,0.07086614173228346,0.11023622047244094,0.05511811023622047,0.05511811023622047,0.14960629921259844,0.2677165354330709,0.0,0.007874015748031496,0.09448818897637795,0.18110236220472442,
17,0.6351351351351351,222,4.09009009009009,0.09009009009009009,0.09009009009009009,0.02252252252252252,0.08108108108108109,0.11711711711711711,0.25675675675675674,0.0,0.02252252252252252,0.12612612612612611,0.19369369369369369,
17,0.6790123456790124,81,4.172839506172839,0.08641975308641975,0.16049382716049382,0.024691358024691357,0.06172839506172839,0.14814814814814814,0.32098765432098764,0.0,0.0,0.07407407407407407,0.12345679012345678,
17,0.7671232876712328,146,4.198630136986301,0.14383561643835616,0.0821917808219178,0.04794520547945205,0.0410958904109589,0.0684931506849315,0.2808219178082192,0.0,0.02054794520547945,0.10273972602739725,0.21232876712328766,
17,0.7080745341614907,161,4.254658385093168,0.08074534161490683,0.11801242236024845,0.062111801242236024,0.049689440993788817,0.08695652173913043,0.2732919254658385,0.0,0.006211180124223602,0.08695652173913043,0.2360248447204969,
17,0.8125,80,4.3625,0.075,0.0625,0.0125,0.075,0.125,0.3875,0.0,0.025,0.075,0.1625,
17,0.7009345794392523,107,4.308411214953271,0.07476635514018691,0.11214953271028037,0.009345794392523364,0.08411214953271028,0.1588785046728972,0.3925233644859813,0.0,0.0,0.07476635514018691,0.09345794392523364,
